name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params
rbf2keys,0,2048,4,256,1024,382.795324928,850781786,302186624
rbf2keys,0,2048,4,256,2048,805.599138816,850781786,302186624
rbf2keys,0,2048,4,256,4096,1747.642109952,850781786,302186624
rbf2keys,0,2048,4,256,8192,4022.746118144,850781786,302186624
rbf2keys,0,4096,4,512,128,139.017425792,2036807258,939884672
rbf2keys,0,4096,4,512,256,275.831491584,2036807258,939884672
rbf2keys,0,4096,4,512,512,548.770178048,2036807258,939884672
rbf2keys,0,4096,4,512,1024,1109.196033536,2036807258,939884672
rbf2keys,0,4096,4,512,2048,2298.393044992,2036807258,939884672
rbf2keys,0,4096,4,512,4096,4869.673754624,2036807258,939884672
rbf2keys,0,4096,4,512,8192,10795.071305728,2036807258,939884672
rbf,0,256,4,32,128,3.588312448,87740506,18931840
rbf,0,256,4,32,256,7.038960896,87740506,18931840
rbf,0,256,4,32,512,13.896921472,87740506,18931840
rbf,0,256,4,32,1024,28.522262784,87740506,18931840
rbf,0,256,4,32,2048,62.047186688,87740506,18931840
rbf,0,256,4,32,4096,141.145852416,87740506,18931840
rbf,0,256,4,32,8192,348.264442112,87740506,18931840
rbf,0,512,4,64,128,7.713503808,179374682,42025088
rbf,0,512,4,64,256,15.151583616,179374682,42025088
rbf,0,512,4,64,512,29.941166592,179374682,42025088
rbf,0,512,4,64,1024,61.340292864,179374682,42025088
rbf,0,512,4,64,2048,132.676307968,179374682,42025088
rbf,0,512,4,64,4096,299.471574016,179374682,42025088
rbf,0,512,4,64,8192,730.888622592,179374682,42025088
rbf,0,1024,4,128,128,17.574507264,375225946,100794496
rbf,0,1024,4,128,256,34.598214528,375225946,100794496
rbf,0,1024,4,128,512,68.472267776,375225946,100794496
rbf,0,1024,4,128,1024,139.862054912,375225946,100794496
rbf,0,1024,4,128,2048,299.720354304,375225946,100794496
rbf,0,1024,4,128,4096,667.662624768,375225946,100794496
rbf,0,1024,4,128,8192,1599.216198656,375225946,100794496
rbf,0,2048,4,256,128,43.73886912,817260122,268664960
rbf,0,2048,4,256,256,86.37613824,817260122,268664960
rbf,0,2048,4,256,512,171.30507392,817260122,268664960
rbf,0,2048,4,256,1024,348.43558656,817260122,268664960
rbf,0,2048,4,256,2048,736.87966208,817260122,268664960
rbf,0,2048,4,256,4096,1610.20315648,817260122,268664960
rbf,0,2048,4,256,8192,3747.8682112,817260122,268664960
rbf,0,4096,4,512,128,121.837556608,1902655066,805732480
rbf,0,4096,4,512,256,241.471753216,1902655066,805732480
rbf,0,4096,4,512,512,480.050701312,1902655066,805732480
rbf,0,4096,4,512,1024,971.757080064,1902655066,805732480
rbf,0,4096,4,512,2048,2023.515138048,1902655066,805732480
rbf,0,4096,4,512,4096,4319.917940736,1902655066,805732480
rbf,0,4096,4,512,8192,9695.559677952,1902655066,805732480
